entrez_gene_symbol	gene_long_name	interaction_claim_source	interaction_types	drug_name	drug_primary_name
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	ESTAZOLAM	ESTAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	GABOXADOL	GABOXADOL
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	CLOBAZAM	CLOBAZAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	TRIAZOLAM	TRIAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	BROMAZEPAM	BROMAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	ALPRAZOLAM	ALPRAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	CLORAZEPATE	CLORAZEPATE
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	DIAZEPAM	DIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	LORAZEPAM	LORAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	FLUDIAZEPAM	FLUDIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	OXAZEPAM	OXAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	PRAZEPAM	PRAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	DIAZEPAM	DIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	NG2-73	NG2-73
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	CINOLAZEPAM	CINOLAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	FLURAZEPAM	FLURAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	CLOTIAZEPAM	CLOTIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	MIDAZOLAM	MIDAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	HALAZEPAM	HALAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	TEMAZEPAM	TEMAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	NITRAZEPAM	NITRAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	EVT-201	EVT-201
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	QUAZEPAM	QUAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	ETAZOLATE	ETAZOLATE
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	CLONAZEPAM	CLONAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	OCINAPLON	OCINAPLON
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TdgClinicalTrial	n/a	ALPRAZOLAM	ALPRAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	QUAZEPAM	QUAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	FLURAZEPAM	FLURAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	TRIAZOLAM	TRIAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	TEMAZEPAM	TEMAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	PRAZEPAM	PRAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	CLORAZEPATE	CLORAZEPATE
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	DIAZEPAM	DIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	ADINAZOLAM	ADINAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	FLUDIAZEPAM	FLUDIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	CLONAZEPAM	CLONAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	NITRAZEPAM	NITRAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	ALPRAZOLAM	ALPRAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	ESTAZOLAM	ESTAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	CLOTIAZEPAM	CLOTIAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	OXAZEPAM	OXAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	BROMAZEPAM	BROMAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	HALAZEPAM	HALAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	CINOLAZEPAM	CINOLAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	MIDAZOLAM	MIDAZOLAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	LORAZEPAM	LORAZEPAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	TEND	n/a	CLOBAZAM	CLOBAZAM
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	GuideToPharmacologyInteractions	n/a	4320	TBPS
GABRE	gamma-aminobutyric acid (GABA) A receptor, epsilon	GuideToPharmacologyInteractions	n/a	4051	PICROTOXIN
SLC5A4	solute carrier family 5 (low affinity glucose cotransporter), member 4	TdgClinicalTrial	n/a	GLUFOSFAMIDE	GLUFOSFAMIDE
MDM2	Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)	DrugBank	n/a	DB04144	CIS-[4,5-BIS-(4-CHLOROPHENYL)-2-(2-ISOPROPOXY-4-METHOXYPHENYL)-4,5-DIHYD ROIMIDAZOL-1-YL]-PIPERAZIN-1-YL-METHANONE
MDM2	Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)	DrugBank	n/a	DB02872	CIS-[4,5-BIS-(4-BROMOPHENYL)-2-(2-ETHOXY-4-METHOXYPHENYL)-4,5-DIHYDROIMIDAZOL-1-YL]-[4-(2-HYDROXYETHYL)PIPERAZIN-1-YL]METHANONE
MDM2	Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)	TTD	inhibitor	DCL000611	R7112
OAZ2	ornithine decarboxylase antizyme 2	DrugBank	n/a	DB00129	L-ORNITHINE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2881	LEVONORGESTREL
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2880	NORETHISTERONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	3453	ORG2058
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2377	PROGESTERONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2879	MEDROXYPROGESTERONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2878	DYDROGESTERONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2877	PROMEGESTONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	3454	[<SUP>3</SUP>H]ORG2058
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2805	MIFEPRISTONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	7416	TANAPROGET
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2882	ONAPRISTONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	7460	ULIPRISTAL ACETATE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2377	PROGESTERONE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2883	ASOPRISNIL
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	7460	ULIPRISTAL ACETATE
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	3448	ZK112993
PGR	progesterone receptor	GuideToPharmacologyInteractions	n/a	2805	MIFEPRISTONE
PGR	progesterone receptor	DrugBank	agonist	DB00823	ETHYNODIOL DIACETATE
PGR	progesterone receptor	DrugBank	agonist	DB00294	ETONOGESTREL
PGR	progesterone receptor	DrugBank	agonist	DB00603	MEDROXYPROGESTERONE
PGR	progesterone receptor	DrugBank	binder	DB00367	LEVONORGESTREL
PGR	progesterone receptor	DrugBank	agonist	DB00717	NORETHINDRONE
PGR	progesterone receptor	DrugBank	agonist	DB00378	DYDROGESTERONE
PGR	progesterone receptor	DrugBank	agonist	DB06713	NORELGESTROMIN
PGR	progesterone receptor	DrugBank	n/a	DB02998	METHYLTRIENOLONE
PGR	progesterone receptor	DrugBank	agonist	DB00396	PROGESTERONE
PGR	progesterone receptor	DrugBank	agonist	DB01395	DROSPIRENONE
PGR	progesterone receptor	DrugBank	antagonist	DB00834	MIFEPRISTONE
PGR	progesterone receptor	DrugBank	agonist	DB00588	FLUTICASONE PROPIONATE
PGR	progesterone receptor	DrugBank	agonist	DB01406	DANAZOL
PGR	progesterone receptor	DrugBank	agonist	DB00304	DESOGESTREL
PGR	progesterone receptor	DrugBank	n/a	DB04787	TANAPROGET
PGR	progesterone receptor	DrugBank	agonist	DB00957	NORGESTIMATE
PGR	progesterone receptor	DrugBank	agonist	DB00351	MEGESTROL
PGR	progesterone receptor	DrugBank	agonist	DB01431	ALLYLESTRENOL
PGR	progesterone receptor	TdgClinicalTrial	n/a	ETONOGESTREL	ETONOGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	DROSPIRENONE	DROSPIRENONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	MIFEPRISTONE	MIFEPRISTONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	LEVONORGESTREL	LEVONORGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	PROGESTERONE	PROGESTERONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	DROSPIRENONE	DROSPIRENONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	ETONOGESTREL	ETONOGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	NORETHISTERONE	NORETHISTERONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	MIFEPRISTONE	MIFEPRISTONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	NORETHINDRONE	NORETHINDRONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	NORGESTREL	NORGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	PROGESTERONE	PROGESTERONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	PROGESTOGEN	PROGESTOGEN
PGR	progesterone receptor	TdgClinicalTrial	n/a	NORELGESTROMIN	NORELGESTROMIN
PGR	progesterone receptor	TdgClinicalTrial	n/a	TELAPRISTONE	TELAPRISTONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	LEVONORGESTREL	LEVONORGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	PROGESTERONE	PROGESTERONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	GESTODENE	GESTODENE
PGR	progesterone receptor	TdgClinicalTrial	n/a	ULIPRISTAL	ULIPRISTAL
PGR	progesterone receptor	TdgClinicalTrial	n/a	PROGESTERONE	PROGESTERONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	LEVONORGESTREL	LEVONORGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	NORETHINDRONE	NORETHINDRONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	DIENOGEST	DIENOGEST
PGR	progesterone receptor	TdgClinicalTrial	n/a	LEVONORGESTREL	LEVONORGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	DESOGESTREL	DESOGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	DYDROGESTERONE	DYDROGESTERONE
PGR	progesterone receptor	TdgClinicalTrial	n/a	ETHYNODIOL DIACETATE	ETHYNODIOL DIACETATE
PGR	progesterone receptor	TdgClinicalTrial	n/a	PROGESTIN	PROGESTIN
PGR	progesterone receptor	TdgClinicalTrial	n/a	LEVONORGESTREL	LEVONORGESTREL
PGR	progesterone receptor	TdgClinicalTrial	n/a	MEGESTROL	MEGESTROL
PGR	progesterone receptor	TdgClinicalTrial	n/a	NORGESTIMATE	NORGESTIMATE
PGR	progesterone receptor	TEND	n/a	NORGESTIMATE	NORGESTIMATE
PGR	progesterone receptor	TEND	n/a	MIFEPRISTONE	MIFEPRISTONE
PGR	progesterone receptor	TEND	n/a	DROSPIRENONE	DROSPIRENONE
PGR	progesterone receptor	TEND	n/a	ULIPRISTAL	ULIPRISTAL
PGR	progesterone receptor	TEND	n/a	PROGESTERONE	PROGESTERONE
PGR	progesterone receptor	TEND	n/a	ETHYNODIOL DIACETATE	ETHYNODIOL DIACETATE
PGR	progesterone receptor	TEND	n/a	ETONOGESTREL	ETONOGESTREL
PGR	progesterone receptor	TEND	n/a	DYDROGESTERONE	DYDROGESTERONE
PGR	progesterone receptor	TEND	n/a	LEVONORGESTREL	LEVONORGESTREL
PGR	progesterone receptor	TEND	n/a	NORGESTREL	NORGESTREL
PGR	progesterone receptor	TEND	n/a	DESOGESTREL	DESOGESTREL
PGR	progesterone receptor	TEND	n/a	MEGESTROL	MEGESTROL
PGR	progesterone receptor	TEND	n/a	NORETHINDRONE	NORETHINDRONE
PGR	progesterone receptor	ClearityFoundationBiomarkers	n/a	ANASTROZOLE	ANASTROZOLE
PGR	progesterone receptor	ClearityFoundationBiomarkers	n/a	MEGESTROL ACETATE	MEGESTROL ACETATE
PGR	progesterone receptor	ClearityFoundationBiomarkers	n/a	TAMOXIFEN	TAMOXIFEN
PGR	progesterone receptor	ClearityFoundationBiomarkers	n/a	LETROZOLE	LETROZOLE
HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	GuideToPharmacologyInteractions	n/a	2357	IVABRADINE
HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	GuideToPharmacologyInteractions	n/a	2358	ZATEBRADINE
HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	GuideToPharmacologyInteractions	n/a	2359	ZD7288
HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	GuideToPharmacologyInteractions	n/a	2356	CS<SUP>+</SUP>
HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	GuideToPharmacologyInteractions	n/a	2355	CILOBRADINE
IFNG	interferon, gamma	TTD	binder	DCL000809	FUMARIC ACID
IFNG	interferon, gamma	TTD	antibody	DCL000807	FONTOLIZUMAB
IFNG	interferon, gamma	TTD	inhibitor	DCL000095	CRX-191
IFNG	interferon, gamma	TdgClinicalTrial	n/a	FONTOLIZUMAB	FONTOLIZUMAB
IFNG	interferon, gamma	DrugBank	n/a	DB01250	OLSALAZINE
IFNG	interferon, gamma	DrugBank	n/a	DB01296	GLUCOSAMINE
GM2A	GM2 ganglioside activator	DrugBank	n/a	DB08231	MYRISTIC ACID
GM2A	GM2 ganglioside activator	DrugBank	n/a	DB03633	LPC-ETHER
GM2A	GM2 ganglioside activator	DrugBank	n/a	DB02261	PLATELET ACTIVATING FACTOR
GM2A	GM2 ganglioside activator	DrugBank	n/a	DB04660	GLYCERYLPHOSPHORYLCHOLINE
OTC	ornithine carbamoyltransferase	DrugBank	n/a	DB02011	N-(PHOSPHONOACETYL)-L-ORNITHINE
OTC	ornithine carbamoyltransferase	DrugBank	n/a	DB00129	L-ORNITHINE
OTC	ornithine carbamoyltransferase	DrugBank	n/a	DB03519	2-AMINO-PENTANOIC ACID
OTC	ornithine carbamoyltransferase	DrugBank	n/a	DB04185	NORVALINE
OTC	ornithine carbamoyltransferase	DrugBank	n/a	DB00155	L-CITRULLINE
OTC	ornithine carbamoyltransferase	PharmGKB	n/a	PA451846	VALPROIC ACID
OTC	ornithine carbamoyltransferase	PharmGKB	n/a	PA451374	SODIUM BENZOATE
CSNK1G1	casein kinase 1, gamma 1	DrugBank	n/a	DB08325	2-(2-HYDROXYETHYLAMINO)-6-(3-CHLOROANILINO)-9-ISOPROPYLPURINE
EIF4E2	eukaryotic translation initiation factor 4E family member 2	PharmGKB	n/a	PA450761	PACLITAXEL
EIF4E2	eukaryotic translation initiation factor 4E family member 2	PharmGKB	n/a	PA448803	CARBOPLATIN
CRYBB1	crystallin, beta B1	DrugBank	n/a	DB01769	DOUBLE OXIDIZED CYSTEINE
SLC38A2	solute carrier family 38, member 2	GuideToPharmacologyInteractions	n/a	4543	[<SUP>3</SUP>H]ALANINE
SLC38A2	solute carrier family 38, member 2	GuideToPharmacologyInteractions	n/a	4542	[<SUP>14</SUP>C]ALANINE
MAPK7	mitogen-activated protein kinase 7	PharmGKB	n/a	PA7000	SORAFENIB
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	DrugBank	n/a	DB08358	2-(2-QUINOLIN-3-YLPYRIDIN-4-YL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE
MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	DrugBank	n/a	DB07728	2-[2-(2-FLUOROPHENYL)PYRIDIN-4-YL]-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ONE
MMP28	matrix metallopeptidase 28	DrugBank	inhibitor	DB00786	MARIMASTAT
CASP9	caspase 9, apoptosis-related cysteine peptidase	GuideToPharmacologyInteractions	n/a	5298	Z-LEHD-FMK
CASP9	caspase 9, apoptosis-related cysteine peptidase	PharmGKB	n/a	PA448871	CELECOXIB
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	MyCancerGenome	other/unknown	CARFILZOMIB	CARFILZOMIB
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	MyCancerGenome	other/unknown	BORTEZOMIB	BORTEZOMIB
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	TdgClinicalTrial	n/a	BORTEZOMIB	BORTEZOMIB
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	TdgClinicalTrial	n/a	MLN-9708	MLN-9708
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	TdgClinicalTrial	n/a	OPROZOMIB	OPROZOMIB
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	TEND	n/a	BORTEZOMIB	BORTEZOMIB
PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	DrugBank	inhibitor	DB00188	BORTEZOMIB
GNPDA1	glucosamine-6-phosphate deaminase 1	DrugBank	n/a	DB02379	BETA-D-GLUCOSE
GNPDA1	glucosamine-6-phosphate deaminase 1	DrugBank	n/a	DB02445	2-DEOXY-2-AMINO GLUCITOL-6-PHOSPHATE
GNPDA1	glucosamine-6-phosphate deaminase 1	DrugBank	n/a	DB03951	16G
EPHA7	EPH receptor A7	DrugBank	n/a	DB07970	5-[(2-METHYL-5-{[3-(TRIFLUOROMETHYL)PHENYL]CARBAMOYL}PHENYL)AMINO]PYRIDINE-3-CARBOXAMIDE
PTPRB	protein tyrosine phosphatase, receptor type, B	DrugBank	n/a	DB07127	{4-[2,2-BIS(5-METHYL-1,2,4-OXADIAZOL-3-YL)-3-PHENYLPROPYL]PHENYL}SULFAMIC ACID
PTPRB	protein tyrosine phosphatase, receptor type, B	DrugBank	n/a	DB07068	(4-{4-[(TERT-BUTOXYCARBONYL)AMINO]-2,2-BIS(ETHOXYCARBONYL)BUTYL}PHENYL)SULFAMIC ACID
PTPRB	protein tyrosine phosphatase, receptor type, B	DrugBank	n/a	DB06989	{4-[2-BENZYL-3-METHOXY-2-(METHOXYCARBONYL)-3-OXOPROPYL]PHENYL}SULFAMIC ACID
PTPRB	protein tyrosine phosphatase, receptor type, B	DrugBank	n/a	DB08678	(4-ETHYLPHENYL)SULFAMIC ACID
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	DrugBank	inhibitor	DB00996	GABAPENTIN
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	DrugBank	inhibitor	DB01054	NITRENDIPINE
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	DrugBank	inhibitor	DB01244	BEPRIDIL
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	DrugBank	inhibitor	DB01118	AMIODARONE
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	DrugBank	inhibitor	DB01023	FELODIPINE
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	DrugBank	inhibitor	DB00270	ISRADIPINE
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	TdgClinicalTrial	n/a	GABAPENTIN	GABAPENTIN
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	TdgClinicalTrial	n/a	GABAPENTIN	GABAPENTIN
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	TdgClinicalTrial	n/a	BUDIODARONE	BUDIODARONE
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	TdgClinicalTrial	n/a	XP13512	XP13512
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	TdgClinicalTrial	n/a	SAFINAMIDE	SAFINAMIDE
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	PharmGKB	n/a	PA448871	CELECOXIB
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	TTD	blocker	DCL000810	GABAPENTIN ER
CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	TEND	n/a	GABAPENTIN	GABAPENTIN
