COMMON.NAMES	STANDARDIZED.NAMES
ANASTROZOLE (ARIMIDEX)	ANASTROZOLE
ANASTROZOLUM	ANASTROZOLE
ARIMIDEX	ANASTROZOLE
ARIMIDEX	ANASTROZOLE
ARIMIDEX	ANASTROZOLE
ARIMIDEX (ANASTROZOLE)	ANASTROZOLE
ARIMIDEX (ANASTROZOLE)	ANASTROZOLE
ANTI NECPLATENS	ANTI NECPLATENS
ANTI NEOPASTONS	ANTI NECPLATENS
ARSENIC TNOXIDE	ARSENIC TRIOXIDE
ARSENIC TRIOXIDE	ARSENIC TRIOXIDE
ARSENIC TRIOXIDE (ATO)	ARSENIC TRIOXIDE
AT 101	AT-101
AT-101	AT-101
ATTAC	ATTAC
B12	B12
BELINOSTAT	BELINOSTAT
AVASTIN	BEVACIZUMAB
AVASTIN	BEVACIZUMAB
BEVACIZUMAB	BEVACIZUMAB
BEVACIZUMAB	BEVACIZUMAB
BEVACIZUMAB	BEVACIZUMAB
BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY	BEVACIZUMAB
BEVACIZUMAB AVASTIN	BEVACIZUMAB
BEVACIZUMAB OR PLACEBO	BEVACIZUMAB
BEVACIZUMAB OR PLACEBO RTOG 0825	BEVACIZUMAB
BEVACOZIMAB	BEVACIZUMAB
BEVCIZUMAB	BEVACIZUMAB
BIBW 2992	BIBW 2992
BIBW2992	BIBW 2992
BICALUTAMID	BICALUTAMIDE
BICALUTAMIDE	BICALUTAMIDE
CASODEX	BICALUTAMIDE
CASODEX	BICALUTAMIDE
BROMO DEOXYURIDINE	BROMODEOXYURIDINE
BS1-201	BSI-201
BSI-201	BSI-201
CABAZITAXEL	CABAZITAXEL
CABAZITAXEL	CABAZITAXEL
CABOZANTINIB	CABOZANTINIB
CAI (NABTT 9712)	CAI NABTT 9712
CAI (NABTT 97212)	CAI NABTT 9712
CAI NABIT 9712	CAI NABTT 9712
CARBOPLATIN	CARBOPLATIN
CARBOPLATIN	CARBOPLATIN
CARBOPLATIN	CARBOPLATIN
CARBOPLATIN	CARBOPLATIN
CARBOPLATIN 5 AUC	CARBOPLATIN
CARBOPLATINE	CARBOPLATIN
CARBOPLATINUM	CARBOPLATIN
CARBOPLATINUM	CARBOPLATIN
PARAPLATIN	CARBOPLATIN
PARAPLATIN	CARBOPLATIN
CARBOXY AMIDO TRIAZOLE	CARBOXYAMIDOTRIAZOLE
CARMUSTIN	CARMUSTINE
CARMUSTINE	CARMUSTINE
CARMUSTINE (BCNU)	CARMUSTINE
CARMUSTINE BCNU	CARMUSTINE
CAV TRIAL	CAV TRIAL
CEDICANIB	CEDICANIB
AZD	CEDIRANIB
CEDIRANIB/PLACEBO	CEDIRANIB/PLACEBO
CELBREX	CELEBREX
CELEBREX	CELEBREX
CETUXIMAB	CETUXIMAB
CETUXIMAB	CETUXIMAB
CETUXIMAB STUDY DRUG	CETUXIMAB
CETUXIMEB	CETUXIMAB
CETUXINAB	CETUXIMAB
ERBITUX	CETUXIMAB
ERBITUX	CETUXIMAB
ERBITUX	CETUXIMAB
CHLOROQUINE	CHLOROQUINE
CI 980	CI-980
CI-980	CI-980
CI980	CI-980
CILENAITIDE	CILENGITIDE
CILENGITIDE	CILENGITIDE
CILENGTIDE	CILENGITIDE
CISPLASTIN	CISPLATIN
CISPLATAIN	CISPLATIN
CISPLATIN	CISPLATIN
CISPLATIN	CISPLATIN
CISPLATIN	CISPLATIN
CISPLATINUM	CISPLATIN
CLODRONATE	CLODRONATE
CLODRONATE	CLODRONATE
CLODRONIC ACID	CLODRONATE
CLORETAZINE	CLORETAZINE
CPT 11	CPT-11
CPT-11	CPT-11
CPT-11	CPT-11
CPT11	CPT-11
CIS RETINOIC ACID	CRA
CIS RETINOIC ACID	CRA
CIS RETINOIC ACID	CRA
CIS-RETINOIC ACID	CRA
CRA	CRA
REINOID/CIS RETINOIC ACID	CRA
CYCLOPHASPHAMIDE	CYCLOPHASPHAMIDE
CYCLOPHOSPAMIDE	CYCLOPHASPHAMIDE
CYCLOPHOSPHAMID	CYCLOPHASPHAMIDE
CYCLOPHOSPHAMIDE	CYCLOPHASPHAMIDE
CYCLOPHOSPHAMIDE	CYCLOPHASPHAMIDE
CYCLOPHOSPHAMIDE	CYCLOPHASPHAMIDE
CYCLOPHOSPHAMIDE+METHOTREXATUM+FLUOROURACILLUM	CYCLOPHASPHAMIDE/METHOTREXATUM/FLUOROURACIL
CYCLOPHOSPHAMIDUM	CYCLOPHASPHAMIDE
CYCLOPHOSPHANE	CYCLOPHASPHAMIDE
CYOTXAN	CYTOXAN
CYTOXAN	CYTOXAN
CYTOXAN	CYTOXAN
CYTOXAN	CYTOXAN
CYTOXAN AND TAXOTERE	CYTOXAN
CYTOXEN	CYTOXAN
DACLIZUMAB	DACLIZUMAB
DC VAX (DENDRITIC CELL VACCINE)	DCVAX
DCVAX	DCVAX
DENDRITIC CELL VACCINE (DCVAX)	DCVAX
DENDRITICCELL VACCINE	DCVAX
FIRMAGON	DEGARELIX
DEXAETHASONE	DEXAMETHASONE
DEXAMETHASOME	DEXAMETHASONE
DEXAMETHASONE	DEXAMETHASONE
DEXAMETHAZONE	DEXAMETHASONE
DEXAMETHSONE	DEXAMETHASONE
DEXAMTHASONE	DEXAMETHASONE
DEXMETHASONE	DEXAMETHASONE
DOCETAXEL	DOCETAXEL
DOCETAXEL	DOCETAXEL
DOCETAXEL	DOCETAXEL
DOCETOXEL/TAXOTERE	DOCETAXEL
DOXETAXEL	DOCETAXEL
DOXETAXOL	DOCETAXEL
TAXOTERE	DOCETAXEL
TAXOTERE	DOCETAXEL
TAXOTERE	DOCETAXEL
AC	DOXORUBICIN/CYCLOPHOSPHAMIDE
ACT PEP3 KLH	DOXORUBICIN/CYCLOPHOSPHAMIDE/TAXOL/TAXOTERE/PEP3-KLH
DOXORUBICIN	DOXORUBICIN
DOXORUBICIN	DOXORUBICIN
DOXORUBICIN	DOXORUBICIN
DOXORUBICIN HCL	DOXORUBICIN
DOXORUBICINE	DOXORUBICIN
DOXORUBICINUM	DOXORUBICIN
DOXIL	DOXORUBICIN LIPOSOMAL
DOXORUBICIN LIPOSOME	DOXORUBICIN LIPOSOMAL
DOXORUBICIN+ CYCLOPHOSPHAMIDE	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE
DOXORUBICIN+CYCLOPHOSPHAMID	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE
DOXORUBICINE CYCLOPHOSPHAMIDE TAMOXIFEN	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE/TAMOXIFEN
DOXORUBICINE+CYCLOPHOSPHAMIDE	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE
DOXORUBICINE+CYCLOPHOSPHAMIDE+TAMOXIFEN	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE/TAMOXIFEN
E-75	E-75
ENZASTAURIN	ENZASTAURIN
EPIRUBICIN	EPIRUBICIN
EPIRUBICOIN	EPIRUBICIN
ERIBULIN	ERIBULIN
ERLOTINIB	ERLOTINI
ERLOTINIB (TARCEVA)	ERLOTINI
ERLOTONIB	ERLOTINI
TANCEVA	ERLOTINIB
TARCEVA	ERLOTINIB
TARCEVA	ERLOTINIB
TARCEVA (ERLOTINIB)	ERLOTINIB
TARCEVA/ERLOTINIB	ERLOTINIB
TARVECA	ERLOTINIB
OS1-774	ERLOTINIB HYDROCHLORIDE 
ESTRAMUSTINE	ESTRAMUSTINE
ETOPOSIDE	ETOPOSIDE
ETOPOSIDE (VP-16)	ETOPOSIDE
EVEROLIMUS	EVEROLIMUS
EVEROLIMUS	EVEROLIMUS
RAD001	EVEROLIMUS
AROMASIN	EXEMESTANE
AROMASIN	EXEMESTANE
AROMASIN (EXEMESTANE)	EXEMESTANE
AROMASIN (EXEMESTANE)	EXEMESTANE
AROMATASE EXEMESTANE	EXEMESTANE
EXEMESTANE	EXEMESTANE
EXEMESTANE	EXEMESTANE
EXEMESTANE (AROMASIN)	EXEMESTANE
FENRETINIDE	FENRETINIDE
FLOUROURACIL	FLOUROURACIL
FLOUROURACIL	FLOUROURACIL
FLOXURIDINE	FLOXURIDINE
FUDR (FLOXURIDINE)	FLOXURIDINE
5 FLUOROURACIL	FLUOROURACIL
5 FU	FLUOROURACIL
5- FU	FLUOROURACIL
5-FLOUROURACIL	FLUOROURACIL
5-FLUOROURACIL	FLUOROURACIL
5-FLUOROURACIL	FLUOROURACIL
5-FLUORUORACIL	FLUOROURACIL
5-FU	FLUOROURACIL
5FU	FLUOROURACIL
FLUOROURACIL	FLUOROURACIL
FLUOROURACIL	FLUOROURACIL
FLUOROURACIL	FLUOROURACIL
FLUOROURACIL IV CONTINUOUS INFUSION OVER 46 HOURS	FLUOROURACIL
FOTEMUSTINA	FOTEMUSTINE
FOTEMUSTINE	FOTEMUSTINE
FOTEMUSTINE	FOTEMUSTINE
FT	FT
FASLODEX	FULVESTRANT
FASLODEX	FULVESTRANT
FULVESTRANT	FULVESTRANT
FULVESTRANT	FULVESTRANT
FULVESTRANT (FASLODEX)	FULVESTRANT
GEFITINIB	GEFITINIB
IRESSA	GEFITINIB
IRESSA	GEFITINIB
GEMCITABINE	GEMZAR
GEMCITABINE	GEMZAR
GEMZAR	GEMZAR
GEMZAR	GEMZAR
GEMZAR	GEMZAR
GEMZAR (GEMCITABINE)	GEMZAR
FILGRASTIM (G-CSF)	GILGRASTIM
GLEEVAC	GLEEVEC
GLEEVEC	GLEEVEC
BCNU	GLIADEL WAFER
BCNU (CARMUSTINE)	GLIADEL WAFER
BCNU (CARMUSTINE)	GLIADEL WAFER
GLIADEL	GLIADEL WAFER
GLIADEL BCNU	GLIADEL WAFER
GLIADEL WAFER	GLIADEL WAFER
GLIADEL WAFER	GLIADEL WAFER
GLIADEL WAFER (BCNU)	GLIADEL WAFER
GLIADEL WAFER CARMUSTINE	GLIADEL WAFER
GLIADEL WAFERS	GLIADEL WAFER
GLIADEL WAFERS	GLIADEL WAFER
GLIADEL WATERS	GLIADEL WAFER
GLIADLE WAFER	GLIADEL WAFER
GOSERELIN	GOSERELIN
ZOLADEX	GOSERELIN
HSC VACCINE INJECTION	HSPPC-96 VACCINE
HSPPC-96 VACCINE	HSPPC-96 VACCINE
HYDROCHOROQUINE	HYDROCHOROQUINE
ABTC 0603 HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE
HYDOXYUREA	HYDROXYUREA
HYDROXUREA	HYDROXYUREA
HYDROXYUEREA	HYDROXYUREA
HYDROXYUREA	HYDROXYUREA
HYDROYUREA	HYDROXYUREA
HYRDROXYUREA	HYDROXYUREA
HYROXYUREA	HYDROXYUREA
IBANDRONATE	IBANDRONATE
ICT-107	ICT-107
IFOSFAMIDE	IFOSFAMIDE
IL 13	IL 13
IL-13 PSEUDOMONAS EXOTOXIN	IL-13PE
IL-13 WITH PSEUDOMONAS EXOTOXIN	IL-13PE
IL-13 WITH PSEUDOMONAS EXOTOXIN	IL-13PE
IL-13-PE38QQR CYTOXIN	IL-13PE
IL-13PE	IL-13PE
CAMPTOSAR	IRINOTECAN
IRINOTECAN	IRINOTECAN
IRINOTECAN	IRINOTECAN
IRINOTECAN HCL	IRINOTECAN
IRINOTECAN HCL	IRINOTECAN
IRINOTECAN HCL	IRINOTECAN
IRINTOCEAN	IRINOTECAN
IRINTOTECAN	IRINOTECAN
IRONOTECAN	IRINOTECAN
IRUNOTECAN	IRINOTECAN
ACCUTANE	ISOTRETINOIN
LAPATINIB	LAPATINIB
LAPATINIB	LAPATINIB
LEOCOVORIN	LEOCOVORIN
FEMARA	LETROZOLE
FEMARA	LETROZOLE
FEMARA	LETROZOLE
FEMARA (LETROZOLE)	LETROZOLE
LETROZOL	LETROZOLE
LETROZOLE	LETROZOLE
LETROZOLE	LETROZOLE
LETROZOLE	LETROZOLE
LETROZOLE (FEMARA)	LETROZOLE
LETROZOLE (FEMARA)	LETROZOLE
LETROZOLUM	LETROZOLE
FOLFIRI	LEUCOVORIN/FLOUROURACIL/IRINOTECAN
FOLFOX	LEUCOVORIN/FLOUROURACIL/OXALIPATIN
FOLFOX	LEUCOVORIN/FLOUROURACIL/OXALIPATIN
FOLFOX	LEUCOVORIN/FLOUROURACIL/OXALIPATIN
FOLFOX-4	LEUCOVORIN/FLOUROURACIL/OXALIPATIN
FOLINIC ACID	LEUCOVORIN
FOLINIC ACID	LEUCOVORIN
LEUCOVORIN	LEUCOVORIN
LEUCOVORIN	LEUCOVORIN
LEUCOVORIN CALCIUM	LEUCOVORIN
LEUCOVORIN CALCIUM	LEUCOVORIN
ELIGARD	LEUPROLIDE
LEUPROLIDE	LEUPROLIDE
LEUPROLIDE	LEUPROLIDE
LEUPROLIDE ACETATE	LEUPROLIDE
LEUPROLIDE ACETATE	LEUPROLIDE
LEUPROLIDE ACETATE (LUPRON)	LEUPROLIDE
LEUPRORELIN	LEUPROLIDE
LEVCOVORIN	LEUPROLIDE
LUPROLIDE DEPOT	LEUPROLIDE
LUPRON	LEUPROLIDE
LUPRON	LEUPROLIDE
LUPRON	LEUPROLIDE
TRENANTONE	LEUPROLIDE
LEVENRACETAM	LEVETIRACETAM
LEVETIRACETAM	LEVETIRACETAM
LOMUSTINE	LOMUSTINE
LOMUSTINE	LOMUSTINE
LOMUSTINE	LOMUSTINE
LOMUSTINE (CCNU)	LOMUSTINE
LOMUSTINE CCNU	LOMUSTINE
LUMUSTINE	LOMUSTINE
SARASAR	LONAFARNIB
MAB I 131	MAB I-131
MAB I-131	MAB I-131
MAB I-131	MAB I-131
MAB I131	MAB I-131
MABI131	MAB I-131
METHOTREXATE	METHOTREXATE
METHOTREXATE	METHOTREXATE
METHOTREXATE	METHOTREXATE
METHOTREXATE+5 FLUOROURACIL+CYCLOPHOSPHAMIDE	METHOTREXATE
MITHRAMYCIN	MITOMYCIN C
MITOMYCIN	MITOMYCIN C
MITOMYCIN C	MITOMYCIN C
METEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
MOTEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
MOTEXATIN GADOINIUM	MOTEXAFIN GADOLINIUM
"""CHEMO, MULTI-AGENT, NOS"""	NA
"""CHEMO, NOS"""	NA
[NOT AVAILABLE]	NA
[UNKNOWN]	NA
CDR0000654697	NA
"CHEMO, NOS"	NA
CLINICAL TRIAL	NA
NILUTAMIDE	NILUTAMIDE
NIMUSTINE	NIMUSTINE HYDROCHLORIDE
MDX-1106 CLINICAL TRIAL	NIVOLUMAB
NOT OTHERWISE SPECIFIED	NOS
06-BG	O6-BG
06-BG (NABTT 0803)	O6-BG
06BG	O6-BG
06GB	O6-BG
O6B6	O6-BG
O6BG	O6-BG
ELOXATIN	OXALIPLATIN
OXALIPLATIN	OXALIPLATIN
OXALIPLATIN	OXALIPLATIN
OXALIPLATIN	OXALIPLATIN
OXALIPLATINUM+ 5-FU	OXALIPLATIN/FLOUROURACIL
ABRAXANE	PACLITAXEL
ABRAXANE	PACLITAXEL
PACLITAXEL	PACLITAXEL
PACLITAXEL	PACLITAXEL
PACLITAXEL	PACLITAXEL
PACLITAXEL (PROTEIN-BOUND)	PACLITAXEL
PACLITAXELUM	PACLITAXEL
PALIXTAXEL	PACLITAXEL
TAXANE	PACLITAXEL
TAXOL	PACLITAXEL
TAXOL	PACLITAXEL
TAXOL	PACLITAXEL
TAXOL+ADRIAMYCIN+CYCLOPHOSPHAMIDE+HERCEPTIN	PACLITAXEL/ADRIAMYCIN/CYCLOPHOSPHAMIDE/HERCEPTIN
TAXOTERE/CYTOXAN	PACLITAXEL/CYTOXAN
ALOXI	PALONOSETRON_
PAMIDRONATE	PAMIDRONATE
PAMIDRONIC ACID	PAMIDRONIC ACID
PANITUMUMAB	PANITUMUMAB
PANITUMUMAB	PANITUMUMAB
VECTIBIX	PANITUMUMAB
VECTIBIX	PANITUMUMAB
ANGIOCEPT	PEGDINETANIB
NEULASTA	PEGFILGRASTIM
NEULASTA	PEGFILGRASTIM
PLACEBO	PLACEBO
POLY E	POLY E
POLY LCLC	POLY LCLC
PREDNISONE	PREDNISONE
PREMETREXED	PREMETREXED
PREMETREXED	PREMETREXED
PROCARBAZINE	PROCARBAZINE
PROCARBAZINE	PROCARBAZINE
PROCARBAZINE	PROCARBAZINE
PROCARBAZINE/CCNU/VINCRISTINE	PROCARBAZINE/LOMUSTINE/VINCRISTINE/
PROCARBIZINE	PROCARBAZINE
PS 341	PS-341
PS-341 BORTREZOMIB	PS-341
PS341	PS-341
PX-866	PX-866
PYRAZINAMIDE	PYRAZINAMIDE
R04929097	R04929097
RALTITREXED	RALTITREXED
RAPAMCYIN	RAPAMYCIN
RAPAMYCIN	RAPAMYCIN
SIROLIMUS	RAPAMYCIN
RAS INHIBITOR	RAS INHIBITOR
REC MAGE 3-AS + AS15 ACS1 / PLACEBO VACCINE	REC MAGE 3-AS + AS15 ACS1 / PLACEBO VACCINE
REC MAGE3-AS+AS15 ASCI VS PLACEBO	REC MAGE3-AS+AS15 ASCI VS PLACEBO
RECENTIN PLACEBO AXDX2171	RECENTIN PLACEBO AXDX2171
RECMAGE3-AS+AS15 ASCI/PLACEBO VACCINE	RECMAGE3-AS+AS15 ASCI/PLACEBO VACCINE
RECPRAME+AS15	RECPRAME+AS15
RECPRAME+AS15 ASCI	RECPRAME+AS15 ASCI
REGORAFENIB	REGORAFENIB
ARIAD AP23573	RIDAFOROLIMUS
RIGOSERTIB	RIGOSERTIB
RITUXIMAB	RITUXIMAB
SCH63666	SCH6636
SCH66336	SCH6636
SCH6636	SCH6636
SORAFENIB	SORAFENIB
SORAFENIB (BAY 43-9006)	SORAFENIB
SOVATENIB	SORAFENIB
STREPTOZOCIN	STREPTOZOCIN
SURAMIN	SURAMIN
NOLVADEX	TAMOXIFEN
NOLVADEX	TAMOXIFEN
TAMOXIFEN	TAMOXIFEN
TAMOXIFEN	TAMOXIFEN
TAMOXIFEN	TAMOXIFEN
TAMOXIFEN (NOVADEX)	TAMOXIFEN
TAMOXIFEN CITRATE	TAMOXIFEN
TAMOXIPHEN+ANASTRAZOLUM	TAMOXIFEN
TAMOXIPHENE	TAMOXIFEN
TAMOXIPHENE+ANASTROZOLUM	TAMOXIFEN
TAMOXIPHENE+LEUPORELINE+GOSERELINE	TAMOXIFEN
TAMOXITEN	TAMOXIFEN
TC	TAXOL/TAXOTERE/CYTOXAN
TC	TAXOL/TAXOTERE/CYTOXAN
TCH	TAXOL/TAXOTERE/CARBOPLATIN/HERCPTIN
TEMADOR	TEMOZOLOMIDE
TEMAZOLOMIDE	TEMOZOLOMIDE
TEMODAR	TEMOZOLOMIDE
TEMODAR	TEMOZOLOMIDE
TEMODAR (ESCALATION)	TEMOZOLOMIDE
TEMODOR	TEMOZOLOMIDE
TEMOXOLOMIDE	TEMOZOLOMIDE
TEMOZLOMIDE	TEMOZOLOMIDE
TEMOZOLAMIDE	TEMOZOLOMIDE
TEMOZOLOMIDE	TEMOZOLOMIDE
TEMOZOLOMIDE	TEMOZOLOMIDE
TEMOZOLOMIDE	TEMOZOLOMIDE
TEMOZOLOMODE	TEMOZOLOMIDE
TEMOZOLOMOIDE	TEMOZOLOMIDE
TEMOZOMIDE	TEMOZOLOMIDE
TEMUDAR	TEMOZOLOMIDE
THEMOZOLOMIDE	TEMOZOLOMIDE
TESETAXEL	TESETAXEL
THALIDOMIDE	THALIDOMIDE
THALOMID	THALIDOMIDE
TIPFARNIB (R115777)	TIPFARNIB (R115777)
TIPIFARNIB (R115777)	TIPFARNIB (R115777)
TL32711	TL32711
TOPECAN	TOPOTECAN
TOPOTECAN	TOPOTECAN
TOPOTECAN	TOPOTECAN
TOPTECAN	TOPOTECAN
FARESTON	TOREMIFENE
YONDELIS	TRABECTEDIN
HERCEPTIN	TRASTUZUMAB
HERCEPTIN	TRASTUZUMAB
HERCEPTIN	TRASTUZUMAB
TRASTUZUMAB	TRASTUZUMAB
TRASTUZUMAB	TRASTUZUMAB
TRASTUZUMAB	TRASTUZUMAB
TRUSTUZUMAB	TRASTUZUMAB
TRELSTAR	TRIPTORELIN PAMOATE
TRIPTORELIN	TRIPTORELIN PAMOATE
TRIPTORELIN	TRIPTORELIN PAMOATE
TUMOR VACCINE	TUMOR VACCINE
VALPROIC ACID	VALPROIC ACID
VALPROIC ACID	VALPROIC ACID
VANDETANIB	VANDETANIB
VATALANIB (PTK787)	VANDETANIB
VEPESID	VEPESID
VINBLASTINE	VINBLASTINE
CCNU	VINCRISTINE
CCNU	VINCRISTINE
CEENU	VINCRISTINE
VINCRISTIN	VINCRISTINE
VINCRISTINE	VINCRISTINE
VINCRISTINE	VINCRISTINE
VINCRISTINE	VINCRISTINE
NAVELBINE	VINORELBINE
NAVELBINE	VINORELBINE
NAVELBINE	VINORELBINE
VINORELBIN	VINORELBINE
VINORELBIN TARTRATE	VINORELBINE
VINORELBINE	VINORELBINE
VINORELBINE TARTRATE	VINORELBINE
SAHA	VORINOSTAT
VORINOSTAT	VORINOSTAT
VP 16	VP-16
VP 16	VP-16
VP 16 (ETOPOSIDE)	VP-16
VP-16	VP-16
VP16	VP-16
CAPECETABINE	XELODA
CAPECITABINE	XELODA
CAPECITABINE	XELODA
CAPECITABINE	XELODA
XELODA	XELODA
XELODA	XELODA
XELODA	XELODA
XELODA (CAPECITABINE)	XELODA
XGEVA	XGEVA
XL 184	XL-184
XL184	XL-184
AFLIBERCEPT/ PLACEBO STUDY	ZIV-AFLIBERCEPT
ZOLEDRONIC ACID	ZOMETA
ZOLEDRONIC ACID	ZOMETA
ZOLEDRONIC ACID	ZOMETA
ZOLEDRONIC ACID	ZOMETA
ZOMETA	ZOMETA
"CALCIUM FOLIATUM, FLUOROURACILUM, OXALIPLATINUM, DEXAMETHASSONE"	CALCIUM FOLIATUM/FLOUROURACIL/OXALIPLATIN/DEXAMETHASONE
CCNG	CCNG
CDDP	CISPLATIN
CYC-116/CYCLOCEL	CYCLACEL
DEGARELIX	DEGARELIX 
DENOSUMAB	DENOSUMAB
IMATINIB	GLEEVEC
IMC-A12	CIXUTUMUMAB
INTERFERON ALPHA	INTERFERON ALFA
IXABEPILONE	IXABEPILONE
JEVTANA	CABAZITAXEL
KARERLTECIN	KARENITECIN
KETOCONAZOLE	KETOCONAZOLE
LHRH AGONIST	LHRH AGONIST
"LHRH AGONIST AND ANTI-ANDROGENS ""COMBINED ANDROGEN BLOCKADE"""	"LHRH AGONIST AND ANTI-ANDROGENS ""COMBINED ANDROGEN BLOCKADE"""
LY317615	ENZASTAURIN
MAGI131-81C6	MAGI13/81C6
MARIMASTAT	MARIMASTAT
MEDT 575	MEDT 575
MEGACE	MEGESTROL
MESNA-1	CYCLOPHOSPHARMIDE/IFOSFAMIDE
MESNA-2	CYCLOPHOSPHARMIDE/IFOSFAMIDE
METFORMIN	METFORMIN
METRONOMIC TEMODAR	METFORMIN/TEMOZOLOMIDE
MGI 114	IROFULVEN
MITOXANTRONE	MITOXANTRONE
MUSTOPHORAN	MUSTOPHORAN
OXCARBAZEPINE	OXCARBAZEPINE
PC2	PACLITAXEL/CARBOPLATIN
PCB	PROCARBAZINE
PCV	PROCARBAZINE/LOMUSTINE/VINCRISTINE
PEGFILGRASTIM	PEGFILGRASTIM
PEGFILGRASTIM (PEG G-CSF)	PEGFILGRASTIM
PEMETSEXED	PEMETSEXED
PEP3 KLH	PEP3-KLH
PHENYTOIN SODIUM	PHENYTOIN SODIUM
