Histology	Bucket	Grade
glioblastoma with oligodendroglioma component	High Grade Gliomas	G4
"glioblastoma, giant cell¾"	High Grade Gliomas	G4
gliosarcoma	High Grade Gliomas	G4
high-grade astrocytoma	High Grade Gliomas	G3/4
high-grade glioma	High Grade Gliomas	G3/4
recurrent/residual glioblastoma	High Grade Gliomas	G3/4
recurrent/residual glioblastoma with treatment effect	High Grade Gliomas	G3/4
recurrent/residual high-grade glioma	High Grade Gliomas	G3/4
recurrent/residual high-grade glioma with treatment effect	High Grade Gliomas	G3/4
small cell glioblastoma	High Grade Gliomas	G4
diffuse astrocytoma	Low Grade Gliomas	G2
fibrillary astrocytoma	Low Grade Gliomas	G2
gemistocytic astrocytoma	Low Grade Gliomas	G2
low-grade astrocytoma	Low Grade Gliomas	G2
low-grade glioma	Low Grade Gliomas	G1/2
oligoastrocytoma	Low Grade Gliomas	G2
oligodendroglioma	Low Grade Gliomas	G2
pilocytic astrocytoma	Low Grade Gliomas	G1
pilomyxoid astrocytoma	Low Grade Gliomas	G2
pleomorphic xanthoastrocytoma (sometimes can be g3/4)	Low Grade Gliomas	G2
protoplasmic astrocytoma	Low Grade Gliomas	G2
subependymal giant cell astrocytoma	Low Grade Gliomas	G1
anaplastic meningioma	Meningothelial Tumors	G3
atypical meningioma	Meningothelial Tumors	G2
chordoid meningioma	Meningothelial Tumors	G2
clear cell meningioma	Meningothelial Tumors	G2
hemangiopericytoma	Meningothelial Tumors	G2
meningioma	Meningothelial Tumors	G1
papillary meningioma	Meningothelial Tumors	G3
rhabdoid meningioma	Meningothelial Tumors	G3
solitary fibrous tumor	Meningothelial Tumors	G2
metastatic adenocarcinoma	Metastatic Tumors	Not Applicable
metastatic carcinoma	Metastatic Tumors	Not Applicable
metastatic melanoma	Metastatic Tumors	Not Applicable
"metastatic, poorly differentiated malignant neoplasm"	Metastatic Tumors	Not Applicable
cellular schwannoma	Nerve Sheath Tumors	G1
malignant peripheral nerve sheath tumor (mpnst)	Nerve Sheath Tumors	G3/4
neurofibroma	Nerve Sheath Tumors	G1
schwannoma	Nerve Sheath Tumors	G1
non-cancer	Other  	Not Applicable
non-diagnostic	Other  	Not Applicable
non-neoplastic	Other  	Not Applicable
anaplastic ganglioglioma	Other Neuroepithelial Tumors	G3
angiocentric glioma	Other Neuroepithelial Tumors	G1
astroblastoma	Other Neuroepithelial Tumors	G2
central neurocytoma	Other Neuroepithelial Tumors	G2
cerebellar liponeurocytoma	Other Neuroepithelial Tumors	G2
chordoid glioma of the third ventricle	Other Neuroepithelial Tumors	G2
desmoplastic infantile astrocytoma	Other Neuroepithelial Tumors	G1
desmoplastic infantile ganglioglioma	Other Neuroepithelial Tumors	G1
dysembryoplastic neuroepithelial tumor (dnt)	Other Neuroepithelial Tumors	G1
dysplastic gangliocytoma of the cerebellum (lhermitte-duclos disease)	Other Neuroepithelial Tumors	G1
extraventricular neurocytoma	Other Neuroepithelial Tumors	G2
gangliocytoma	Other Neuroepithelial Tumors	G1
ganglioglioma	Other Neuroepithelial Tumors	G1
papillary glioneuronal tumor	Other Neuroepithelial Tumors	G1
paraganglioma	Other Neuroepithelial Tumors	G1
rosette-forming glioneuronal tumor of the fourth ventricle	Other Neuroepithelial Tumors	G1
papillary tumor of the pineal region	Pineal Tumors	G2/3
pineal parenchymal tumor of intermediate differentiation	Pineal Tumors	G2/3
pineoblastoma	Pineal Tumors	G4
pineocytoma	Pineal Tumors	G1
atypical pituitary adenoma	Sellar Tumors	Not Applicable
"craniopharyngioma, adamantinomatous type"	Sellar Tumors	Not Applicable
"craniopharyngioma, papillary type"	Sellar Tumors	Not Applicable
granular cell tumor	Sellar Tumors	Not Applicable
pituicytoma	Sellar Tumors	Not Applicable
pituitary adenoma	Sellar Tumors	Not Applicable
pituitary carcinoma	Sellar Tumors	Not Applicable
spindle cell oncocytoma of the adenohypophysis	Sellar Tumors	Not Applicable
Untreated primary (de novo) GBM	High Grade Gliomas	G4
Treated primary GBM	High Grade Gliomas	G4
Glioblastoma Multiforme (GBM)	High Grade Gliomas	G4
