Common.Names	Standardized.Names	COMMON.NAMES	STANDARDIZED.NAMES
5 FU	Fluorouracil	IFOSFAMIDE	IFOSFAMIDE
5- FU	Fluorouracil	IL 13	IL 13
5-Flourouracil	Fluorouracil	IL-13 PSEUDOMONAS EXOTOXIN	IL-13PE
5-Fluorouracil	Fluorouracil	IL-13 WITH PSEUDOMONAS EXOTOXIN	IL-13PE
5-fluorouracil	Fluorouracil	IL-13-PE38QQR CYTOXIN	IL-13PE
5-Fluoruoracil	Fluorouracil	IL-13PE	IL-13PE
5-FU	Fluorouracil	CAMPTOSAR	IRINOTECAN
5FU	Fluorouracil	IRINOTECAN	IRINOTECAN
Fluorouracil	Fluorouracil	IRINOTECAN HCL	IRINOTECAN
FLUOROURACIL	Fluorouracil	IRINTOCEAN	IRINOTECAN
fluorouracil	Fluorouracil	IRINTOTECAN	IRINOTECAN
Fluorouracil IV Continuous infusion over 46 hours	Fluorouracil	IRONOTECAN	IRINOTECAN
Fotemustina	Fotemustine	IRUNOTECAN	IRINOTECAN
Fotemustine	Fotemustine	ACCUTANE	ISOTRETINOIN
fotemustine	Fotemustine	LAPATINIB	LAPATINIB
FT	FT	LEOCOVORIN	LEOCOVORIN
Faslodex	Fulvestrant	FEMARA	LETROZOLE
faslodex	Fulvestrant	FEMARA (LETROZOLE)	LETROZOLE
Fulvestrant	Fulvestrant	LETROZOL	LETROZOLE
FULVESTRANT	Fulvestrant	LETROZOLE	LETROZOLE
Fulvestrant (Faslodex)	Fulvestrant	LETROZOLE (FEMARA)	LETROZOLE
Gefitinib	Gefitinib	LETROZOLUM	LETROZOLE
Iressa	Gefitinib	FOLFIRI	LEUCOVORIN/FLOUROURACIL/IRINOTECAN
IRESSA	Gefitinib	FOLFOX	LEUCOVORIN/FLOUROURACIL/OXALIPATIN
Gemcitabine	Gemzar	FOLFOX-4	LEUCOVORIN/FLOUROURACIL/OXALIPATIN
gemcitabine	Gemzar	FOLINIC ACID	LEUCOVORIN
GEMZAR	Gemzar	LEUCOVORIN	LEUCOVORIN
Gemzar	Gemzar	LEUCOVORIN CALCIUM	LEUCOVORIN
gemzar	Gemzar	ELIGARD	LEUPROLIDE
Gemzar (Gemcitabine)	Gemzar	LEUPROLIDE	LEUPROLIDE
Filgrastim (G-CSF)	Gilgrastim	LEUPROLIDE ACETATE	LEUPROLIDE
Gleevac	Gleevec	LEUPROLIDE ACETATE (LUPRON)	LEUPROLIDE
Gleevec	Gleevec	LEUPRORELIN	LEUPROLIDE
BCNU	Gliadel wafer	LEVCOVORIN	LEUPROLIDE
BCNU (Carmustine)	Gliadel wafer	LUPROLIDE DEPOT	LEUPROLIDE
BCNU (carmustine)	Gliadel wafer	LUPRON	LEUPROLIDE
Gliadel	Gliadel wafer	TRENANTONE	LEUPROLIDE
Gliadel BCNU	Gliadel wafer	LEVENRACETAM	LEVETIRACETAM
Gliadel Wafer	Gliadel wafer	LEVETIRACETAM	LEVETIRACETAM
Gliadel wafer	Gliadel wafer	LOMUSTINE	LOMUSTINE
Gliadel Wafer (BCNU)	Gliadel wafer	LOMUSTINE (CCNU)	LOMUSTINE
Gliadel wafer carmustine	Gliadel wafer	LOMUSTINE CCNU	LOMUSTINE
Gliadel Wafers	Gliadel wafer	LUMUSTINE	LOMUSTINE
Gliadel wafers	Gliadel wafer	SARASAR	LONAFARNIB
Gliadel Waters	Gliadel wafer	MAB I 131	MAB I-131
Gliadle Wafer	Gliadel wafer	MAB I-131	MAB I-131
Goserelin	Goserelin	MAB I131	MAB I-131
Zoladex	Goserelin	MABI131	MAB I-131
HSC vaccine injection	HSPPC-96 Vaccine	METHOTREXATE	METHOTREXATE
HSPPC-96 Vaccine	HSPPC-96 Vaccine	METHOTREXATE+5 FLUOROURACIL+CYCLOPHOSPHAMIDE	METHOTREXATE
Hydrochoroquine	Hydrochoroquine	MITHRAMYCIN	MITOMYCIN C
ABTC 0603 Hydroxychloroquine	hydroxychloroquine	MITOMYCIN	MITOMYCIN C
Hydoxyurea	Hydroxyurea	MITOMYCIN C	MITOMYCIN C
Hydroxurea	Hydroxyurea	METEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
Hydroxyuerea	Hydroxyurea	MOTEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
Hydroxyurea	Hydroxyurea	MOTEXATIN GADOINIUM	MOTEXAFIN GADOLINIUM
Hydroyurea	Hydroxyurea	"""CHEMO, MULTI-AGENT, NOS"""	NA
Hyrdroxyurea	Hydroxyurea	"""CHEMO, NOS"""	NA
Hyroxyurea	Hydroxyurea	[NOT AVAILABLE]	NA
Ibandronate	ibandronate	[UNKNOWN]	NA
ICT-107	ICT-107	CDR0000654697	NA
Ifosfamide	Ifosfamide	"CHEMO, NOS"	NA
IL 13	IL 13	CLINICAL TRIAL	NA
IL-13 Pseudomonas exotoxin	IL-13PE	NILUTAMIDE	NILUTAMIDE
IL-13 with Pseudomonas exotoxin	IL-13PE	NIMUSTINE	NIMUSTINE HYDROCHLORIDE
IL-13 with Pseudomonas Exotoxin	IL-13PE	MDX-1106 CLINICAL TRIAL	NIVOLUMAB
IL-13-PE38QQR Cytoxin	IL-13PE	NOT OTHERWISE SPECIFIED	NOS
IL-13PE	IL-13PE	06-BG	O6-BG
Camptosar	Irinotecan	06-BG (NABTT 0803)	O6-BG
Irinotecan	Irinotecan	06BG	O6-BG
irinotecan	Irinotecan	06GB	O6-BG
Irinotecan HCl	Irinotecan	O6B6	O6-BG
IRINOtecan HCl	Irinotecan	O6BG	O6-BG
Irinotecan HCL	Irinotecan	ELOXATIN	OXALIPLATIN
Irintocean	Irinotecan	OXALIPLATIN	OXALIPLATIN
Irintotecan	Irinotecan		
Ironotecan	Irinotecan		
Irunotecan	Irinotecan		
Accutane	Isotretinoin		
Lapatinib	Lapatinib		
lapatinib	Lapatinib		
Leocovorin	Leocovorin		
Femara	Letrozole		
FEMARA	Letrozole		
femara	Letrozole		
Femara (Letrozole)	Letrozole		
Letrozol	Letrozole		
Letrozole	Letrozole		
LETROZOLE	Letrozole		
letrozole	Letrozole		
LETROZOLE (FEMARA)	Letrozole		
Letrozole (Femara)	Letrozole		
letrozolum	Letrozole		
Folfiri	Leucovorin/Flourouracil/Irinotecan		
Folfox	Leucovorin/Flourouracil/Oxalipatin		
FOLFOX	Leucovorin/Flourouracil/Oxalipatin		
FolFox	Leucovorin/Flourouracil/Oxalipatin		
Folfox-4	Leucovorin/Flourouracil/Oxalipatin		
Folinic acid	Leucovorin		
Folinic Acid	Leucovorin		
Leucovorin	Leucovorin		
leucovorin	Leucovorin		
Leucovorin Calcium	Leucovorin		
leucovorin calcium	Leucovorin		
Eligard	Leuprolide		
Leuprolide	Leuprolide		
leuprolide	Leuprolide		
Leuprolide acetate	Leuprolide		
Leuprolide Acetate	Leuprolide		
LEUPROLIDE ACETATE (LUPRON)	Leuprolide		
Leuprorelin	Leuprolide		
Levcovorin	Leuprolide		
Luprolide Depot	Leuprolide		
Lupron	Leuprolide		
LUPRON	Leuprolide		
lupron	Leuprolide		
Trenantone	Leuprolide		
Levenracetam	Levetiracetam		
Levetiracetam	Levetiracetam		
Lomustine	Lomustine		
LOMUSTINE	Lomustine		
lomustine	Lomustine		
LOMUSTINE (CCNU)	Lomustine		
Lomustine CCNU	Lomustine		
Lumustine	Lomustine		
Sarasar	lonafarnib		
MAB I 131	MAB I-131		
MAB I-131	MAB I-131		
MAb I-131	MAB I-131		
MAB I131	MAB I-131		
MABI131	MAB I-131		
Methotrexate	Methotrexate		
METHOTREXATE	Methotrexate		
methotrexate	Methotrexate		
methotrexate+5 fluorouracil+cyclophosphamide	Methotrexate		
Mithramycin	Mitomycin C		
Mitomycin	Mitomycin C		
Mitomycin C	Mitomycin C		
Metexafin Gadolinium	Motexafin Gadolinium		
Motexafin Gadolinium	Motexafin Gadolinium		
Motexatin Gadoinium	Motexafin Gadolinium		
"""Chemo, Multi-Agent, NOS"""	NA		
"""Chemo, NOS"""	NA		
[Not Available]	NA		
[Unknown]	NA		
CDR0000654697	NA		
"Chemo, NOS"	NA		
Clinical trial	NA		
Nilutamide	Nilutamide		
Nimustine	Nimustine Hydrochloride		
MDX-1106 clinical trial	nivolumab		
Not otherwise specified	NOS		
06-BG	O6-BG		
06-BG (NABTT 0803)	O6-BG		
06BG	O6-BG		
06GB	O6-BG		
O6B6	O6-BG		
O6BG	O6-BG		
Eloxatin	Oxaliplatin		
Oxaliplatin	Oxaliplatin		
oxaliplatin	Oxaliplatin		
OXALIPLATIN	Oxaliplatin		
oxaliplatinum+ 5-FU	Oxaliplatin/Flourouracil		
Abraxane	Paclitaxel		
abraxane	Paclitaxel		
Paclitaxel	Paclitaxel		
PACLITAXEL	Paclitaxel		
paclitaxel	Paclitaxel		
Paclitaxel (Protein-Bound)	Paclitaxel		
paclitaxelum	Paclitaxel		
Palixtaxel	Paclitaxel		
Taxane	Paclitaxel		
Taxol	Paclitaxel		
taxol	Paclitaxel		
TAXOL	Paclitaxel		
taxol+adriamycin+cyclophosphamide+herceptin	Paclitaxel/Adriamycin/Cyclophosphamide/Herceptin		
Taxotere/Cytoxan	Paclitaxel/Cytoxan		
Aloxi	palonosetron_		
Pamidronate	Pamidronate		
Pamidronic acid	Pamidronic acid		
Panitumumab	Panitumumab		
panitumumab	Panitumumab		
VECTIBIX	Panitumumab		
vectibix	Panitumumab		
Angiocept	Pegdinetanib		
Neulasta	Pegfilgrastim		
